YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,LA01601,MANSFIELD,"5,034",1,0,0,0,0,0,0
2013,LA01700,EAST BATON ROUGE,"186,258",1,0,0,0,0,0,0
2013,LA01704,LA ST UNIV: BATON ROUGE,0,1,0,0,0,0,0,0
2013,LA02100,FRANKLIN,"19,554",1,0,0,0,0,0,0
2013,LA02400,IBERVILLE,"17,567",1,0,0,0,0,0,0
2013,LA02602,HARAHAN,"9,296",2,0,0,0,0,0,0
2013,LA02603,KENNER,"66,854",1,0,0,0,0,0,0
2013,LA02901,GOLDEN MEADOW,"2,079",1,0,0,0,0,0,0
2013,LA03103,GRAMBLING,"4,955",1,0,0,0,0,0,0
2013,LA03107,LOUISIANA TECH UNIVERSIT,0,1,0,0,0,0,0,0
2013,LA03200,LIVINGSTON,"113,316",1,0,0,0,0,0,0
2013,LA03602,DELGADO COMMUNITY COLLEG,0,1,0,0,0,0,0,0
2013,LA03903,LIVONIA,"1,439",1,0,0,0,0,0,0
2013,LA04307,FISHER,230,1,0,0,0,0,0,0
2013,LA04701,LUTCHER,"3,403",1,0,0,0,0,0,0
2013,LA04702,GRAMERCY,"3,474",1,0,0,0,0,0,0
2013,LA04913,LA ST UNIV: EUNICE,0,1,0,0,0,0,0,0
2013,LA05102,FRANKLIN,"7,429",1,0,0,0,0,0,0
2013,LA05305,INDEPENDENCE,"1,654",1,0,0,0,0,0,0
2013,LA05501,HOUMA,"33,717",1,0,0,0,0,0,0
2013,LA05902,FRANKLINTON,"3,798",1,0,0,0,0,0,0
2013,LA06202,EPPS,848,1,0,0,0,0,0,0
2013,MDBPD00,BALTIMORE,"622,671",1,0,0,0,0,0,0
2013,MD00301,BALTIMORE COUNTY POL DEP,"822,814",1,0,0,0,0,0,0
2013,MD01103,FREDERICK,"66,709",1,0,0,0,0,0,0
2013,MD01300,HARFORD,"211,361",1,0,0,0,0,0,0
2013,MD01900,ST. MARY'S,"110,294",1,0,0,0,0,0,0
2013,MD02200,WASHINGTON,"101,064",1,0,0,0,0,0,0
2013,MD02204,HANCOCK,"1,562",1,0,0,0,0,0,0
2013,MD306SP,SP: CARROLL COUNTY,"126,572",1,0,0,0,0,0,0
2013,MD324SP,MSP STATEWIDE,0,1,0,0,0,0,0,0
2013,MS00601,CLEVELAND,"12,174",10,0,0,0,0,0,0
2013,MS01000,CHOCTAW,"6,823",5,0,0,0,0,0,0
2013,MS01001,ACKERMAN,"1,461",2,0,0,0,0,0,0
2013,MS01100,CLAIBORNE,"7,826",4,0,0,0,0,0,0
2013,MS01300,CLAY,"9,210",2,0,0,0,0,0,0
2013,MS01403,COAHOMA COMMUNITY COLLEG,0,4,0,0,0,0,0,0
2013,MS01501,CRYSTAL SPRINGS,"4,949",1,0,0,0,0,0,0
2013,MS01700,DESOTO,"40,537",2,0,0,0,0,0,0
2013,MS01701,SOUTHAVEN,"50,801",5,0,0,0,0,0,0
2013,MS01702,OLIVE BRANCH,"34,827",4,0,0,0,0,0,0
2013,MS01704,HORN LAKE,"26,670",3,0,0,0,0,0,0
2013,MS01801,HATTIESBURG,"47,549",9,0,0,0,0,0,0
2013,MS01802,PETAL,"10,902",4,0,0,0,0,0,0
2013,MS02000,GEORGE,"19,991",12,0,0,0,0,0,0
2013,MS02100,GREENE,"12,973",5,0,0,0,0,0,0
2013,MS02300,HANCOCK,"28,549",9,0,0,0,0,0,0
2013,MS02400,HARRISON,"49,966",10,0,0,0,0,0,0
2013,MS02403,LONG BEACH,"15,467",7,0,0,0,0,0,0
2013,MS02404,PASS CHRISTIAN,"5,020",6,0,0,0,0,0,0
2013,MS02408,D'IBERVILLE,"10,123",3,0,0,0,0,0,0
2013,MS02501,JACKSON,"176,039",2,0,0,0,0,0,0
2013,MS02510,JACKSON STATE UNIVERSITY,0,6,0,0,0,0,0,0
2013,MS02516,UNIV OF MS: MEDICAL CTR,0,6,0,0,0,0,0,0
2013,MS02519,STATE CAPITOL POLICE,0,6,0,0,0,0,0,0
2013,MS02900,ITAWAMBA,"19,345",4,0,0,0,0,0,0
2013,MS03009,SINGING RIVER HEALTH SYS,0,6,0,0,0,0,0,0
2013,MS03200,JEFFERSON,"5,988",7,0,0,0,0,0,0
2013,MS03400,JONES,"44,591",4,0,0,0,0,0,0
2013,MS03402,LAUREL,"18,917",5,0,0,0,0,0,0
2013,MS03500,KEMPER,"9,180",4,0,0,0,0,0,0
2013,MS03602,UNIV OF MS: OXFORD,0,3,0,0,0,0,0,0
2013,MS03700,LAMAR,"50,891",5,0,0,0,0,0,0
2013,MS04001,CARTHAGE,"5,018",2,0,0,0,0,0,0
2013,MS04100,LEE,"38,030",3,0,0,0,0,0,0
2013,MS04200,LEFLORE,"12,397",6,0,0,0,0,0,0
2013,MS04201,GREENWOOD,"16,112",3,0,0,0,0,0,0
2013,MS04300,LINCOLN,"22,405",2,0,0,0,0,0,0
2013,MS04301,BROOKHAVEN,"12,519",2,0,0,0,0,0,0
2013,MS04500,MADISON,"36,283",6,0,0,0,0,0,0
2013,MS04504,MADISON,"25,044",6,0,0,0,0,0,0
2013,MS04600,MARION,"19,816",5,0,0,0,0,0,0
2013,MS04601,COLUMBIA,"6,430",5,0,0,0,0,0,0
2013,MS04702,BYHALIA,"1,270",7,0,0,0,0,0,0
2013,MS04801,ABERDEEN,"5,473",6,0,0,0,0,0,0
2013,MS05001,PHILADELPHIA,"7,488",6,0,0,0,0,0,0
2013,MS05301,STARKVILLE,"24,519",7,0,0,0,0,0,0
2013,MS05303,MISSISSIPPI STATE UNIV,0,4,0,0,0,0,0,0
2013,MS05400,PANOLA,"25,052",3,0,0,0,0,0,0
2013,MS05401,BATESVILLE,"7,417",8,0,0,0,0,0,0
2013,MS05501,PICAYUNE,"10,840",5,0,0,0,0,0,0
2013,MS05502,POPLARVILLE,"2,816",2,0,0,0,0,0,0
2013,MS05702,MCCOMB,"12,726",3,0,0,0,0,0,0
2013,MS05703,SUMMIT,"1,678",4,0,0,0,0,0,0
2013,MS06101,BRANDON,"22,326",3,0,0,0,0,0,0
2013,MS06106,FLORENCE,"4,276",3,0,0,0,0,0,0
2013,MS06200,SCOTT,"19,089",6,0,0,0,0,0,0
